SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE,price_per_sq_ft
Past Sale,Condo/Coop,1001 17th St #301,San Francisco,CA,94107,730000,1,1,Potrero Hill,639,,2015,0,,,Sold,,,,,730000,2016-02-12,730000,http://www.redfin.com/CA/San-Francisco/1001-17th-St-94107/unit-301/home/102285121,San Francisco Association of Realtors (SFARMLS),440611,Vanguard Properties,N,Y,37.7650461,-122.394141,false,1142
Past Sale,Condo/Coop,1001 17th St #304,San Francisco,CA,94107,1115000,2,2,Potrero Hill,1025,,2015,1,,,Sold,,,,,1115000,2016-01-29,1115000,http://www.redfin.com/CA/San-Francisco/1001-17th-St-94107/unit-304/home/102832373,San Francisco Association of Realtors (SFARMLS),441114,Vanguard Properties,N,Y,37.7650461,-122.394141,false,1088
Past Sale,Condo/Coop,1001 17th St #205,San Francisco,CA,94107,649000,1,1,Potrero Hill,523,,2015,1,,,Sold,,,,,649000,2016-02-12,649000,http://www.redfin.com/CA/San-Francisco/1001-17th-St-94107/unit-205/home/102832384,San Francisco Association of Realtors (SFARMLS),441115,Vanguard Properties,N,Y,37.7650461,-122.394141,false,1241
Past Sale,Condo/Coop,354 Utah,San Francisco,CA,94103,1039000,3,1,Potrero Hill,1537,,1908,0,,,Sold,,,,,959000,2015-12-11,1040000,http://www.redfin.com/CA/San-Francisco/358-Utah-St-94103/home/2014145,San Francisco Association of Realtors (SFARMLS),437416,Pacific Union International Inc.,N,Y,37.7650313,-122.4065875,false,677
Past Sale,Condo/Coop,1001 17th St #203,San Francisco,CA,94107,680000,1,1,Potrero Hill,544,,2015,1,,,Sold,,,,,680000,2016-03-11,680000,http://www.redfin.com/CA/San-Francisco/1001-17th-St-94107/unit-203/home/101853111,San Francisco Association of Realtors (SFARMLS),439868,Vanguard Properties,N,Y,37.765025,-122.394131,false,1250
Past Sale,Condo/Coop,2935 16th St,San Francisco,CA,94103,899000,3,1,Inner Mission,1534,,1916,0,,,Sold,,,,,899000,2016-03-14,960000,http://www.redfin.com/CA/San-Francisco/2935-16th-St-94103/home/103469769,San Francisco Association of Realtors (SFARMLS),441516,Zephyr Real Estate,N,Y,37.7651249,-122.4184029,false,626
Past Sale,Single Family Residential,215 Downey St,San Francisco,CA,94117,,,1,94117,2060,,1900,,,,,,,,,,2015-11-09,1500000,http://www.redfin.com/CA/San-Francisco/215-Downey-St-94117/home/598938,,,,N,Y,37.7650996,-122.4470057,,728
Past Sale,Condo/Coop,1217 A 20th Ave,San Francisco,CA,94122,895000,2,2,Central Sunset,,,1922,1,,,Sold,,,,,895000,2016-03-28,1075000,http://www.redfin.com/CA/San-Francisco/1217-20th-Ave-94122/home/21666578,San Francisco Association of Realtors (SFARMLS),442501,,N,Y,37.7650284,-122.4784398,false,
Past Sale,Condo/Coop,1001 17th St #206,San Francisco,CA,94107,625000,0,1,Potrero Hill,490,,2015,0,,,Sold,,,,,625000,2016-02-23,599000,http://www.redfin.com/CA/San-Francisco/1001-17th-St-94107/unit-206/home/101909886,San Francisco Association of Realtors (SFARMLS),439907,Vanguard Properties,N,Y,37.7650461,-122.394141,false,1222
Past Sale,Condo/Coop,370 Church St Unit F,San Francisco,CA,94114,799000,1,1,Eureka Valley/Dolore,780,,1981,1,,,Sold,,,,,799000,2016-02-16,888000,http://www.redfin.com/CA/San-Francisco/370-Church-St-94114/unit-F/home/1470645,San Francisco Association of Realtors (SFARMLS),439520,Zephyr Real Estate,N,Y,37.765062,-122.429077,false,1138
